species,growth form
acantholimon_aspadanum,Shrub
acantholimon_scorpius,Shrub
acanthophyllum_crassifolium,Shrub
acantolimun_hohenacheri,Shrub
achillea_filipendula,Annual Forb
achillea_millefolium,Perennial Forb
agropyron_cristatum,Perennial Grass
agropyron_long,Perennial Grass
agropyron_repens,Perennial Grass
agropyrum_elongatum,Perennial Grass
agropyrun_intermedium,Perennial Grass
ajuga_reptans,Annual Forb
alchemilla_surculosa,Perennial Forb
alchemillia_rigida,Perennial Forb
allium_aucheri,Perennial Forb
allium_colchicifolium,Annual Forb
allium_vavilovii,Annual Forb
alyssum_bracteatum,Annual Forb
alyssum_hirsutum,Annual Forb
alyssum_minus,Annual Forb
anagallis_arvensis,Annual Forb
androsace_maxima,Annual Forb
anthemis_candidissima,Perennial Forb
anthemis_tinctoria,Perennial Forb
apium_graveolens,Perennial Forb
arenaria_insignis,Perennial Forb
artemisia_aucheri,Shrub
artemisia_sieberi,Shrub
asperula_arvensis,Annual Forb
asperula_brachyantha,Annual Forb
asperula_odorata,Annual Forb
astragalus_aegobromus,Shrub
astragalus_brachyodontus,Perennial Forb
astragalus_effuses,Shrub
astragalus_glucacanthus,Shrub
astragalus_grammocalyx,Shrub
astragalus_microcephalus,Shrub
astragalus_pinetorum,Perennial Forb
astragalus_pulchellus,Perennial Forb
astragalus_verus,Shrub
boissiera_squarrosa,Annual Grass 
bosiera_squarrosa,Annual Grass 
bromus_briziformis,Annual Grass 
bromus_danthoniae,Annual Grass 
bromus_tectorum,Annual Grass 
bromus_tomentellus,Perennial Grass
bromus_tomentosus,Perennial Grass
bunium_kuhitangi,Perennial Forb
calamagrostis_pseudophragmites,Perennial Grass
capsella_bursa,Annual Forb
cardaria_draba,Annual Forb
cardariadraba_l,Perennial Grass
carex_divulsa,Annual Grass 
carex_stenophylla,Annual Grass 
centaurea_aucheri,Annual Forb
centaurea_elbursensis,Annual Forb
centaurea_iljinii,Annual Forb
centaurea_ovina,Perennial Forb
ceratocarpus_arenarius,Annual Forb
chenopodium_botrys,Annual Forb
cirisium_arvense,Annual Forb
cirsium_bornmulleri,Perennial Forb
cirsium_bracteosum,Annual Forb
cirsium_canum,Annual Forb
convolvulus_commutatus,Perennial Forb
convolvulus_pseudocantabrica,Perennial Forb
cousinia_eryngioides,Annual Forb
cousinia_gmelini,Annual Forb
cousinia_habilitzlii,Annual Forb
cousinia_iranica,Annual Forb
cousinia_pinarocephala,Annual Forb
cousinia_tenella,Annual Forb
dactylis_glomerata,Perennial Grass
dactylis_golmerata,Perennial Grass
draba_aucheri,Annual Forb
draba_siliquosa,Annual Forb
echinops_chorassanicus,Annual Forb
echium_italicum,Perennial Forb
ephedra_intermedia,Bushy Tree
ephorbia_bungei,Perennial Forb
erodium_cicutarium,Perennial Forb
erodium_gruinum,Perennial Forb
eryngium_bilardieri,Perennial Forb
eryngium_caucasicum,Perennial Forb
eryngium_pyramidale,Perennial Forb
euphorbia_humilis,Perennial Forb
eurotia_ceratoides,Perennial Forb
falcaria_falcarioides,Annual Forb
falcaria_vulgaris,Annual Forb
ferula_ovina,Perennial Forb
ferula_schtschurowskiana,Perennial Forb
festuca_arundinaceae,Perennial Grass
festuca_ovina,Perennial Grass
festuca_rubra,Perennial Grass
festuca_valesiaca,Perennial Grass
fibigia_suffruticosa,Perennial Forb
galium_verum,Perennial Forb
gallium_verum,Perennial Forb
geranim_dissectum,Perennial Forb
geranim_tuberosum,Perennial Forb
geranium_collinum,Perennial Forb
geranium_robertianum,Perennial Forb
glaucium_corniculatum,Annual Forb
helianthemum_nummularium,Perennial Forb
heracleum_gorganicum,Perennial Forb
heracleum_persicum,Perennial Forb
heteranthelium_piliferum,Perennial Grass
hippocrepis_comosa,Perennial Forb
hordeum_bulbosom,Perennial Grass
hypericum_perforatum,Perennial Forb
hypericum_scabrum,Perennial Forb
ixiolirion_tataricum,Annual Forb
koeleria_macrantha,Perennial Grass
koelpinia_tenuissima,Perennial Forb
lactuca_serriola,Perennial Forb
lamium_album,Perennial Forb
lepidium_aucheri,Annual Forb
lepidium_ruderale,Perennial Forb
lithospermum_arvense,Perennial Forb
lolium_perenne,Perennial Grass
lolium_perrenne,Perennial Grass
malva_parviflora,Perennial Forb
malva_rotundifolia,Perennial Forb
medicago_lupulina,Perennial Forb
medicago_polymorpha,Perennial Forb
medicago_rigidula,Perennial Forb
mentha_spicata,Perennial Forb
myosotis_lithospermifolia,Annual Forb
myosotis_palustris,Perennial Forb
myosotis_stricta,Annual Forb
nepeta_betonicifolia,Perennial Forb
notoceras_bicorne,Annual Forb
onobrychis_cornuta,Shrub
onobrychis_michauxii,Perennial Forb
onobrychis_radiata,Perennial Forb
onopordon_heteracanthum,Perennial Forb
orobanche_purpurea,Annual Forb
papaver_bracteatum,Perennial Forb
peganum_harmala,Perennial Forb
phalaris_arundinaceae,Perennial Grass
phleum_alpinum,Perennial Grass
phloem_montanum,Perennial Grass
phlomis_anisodonta,Perennial Forb
phlomis_cancellata,Perennial Forb
phlomis_olivieri,Perennial Forb
phlomis_oucheri,Perennial Forb
pimpinella_aurea,Perennial Forb
pimpinella_saxifraga,Perennial Forb
pimpinella_tragioides,Perennial Forb
pimpinella_tragium,Perennial Forb
plantago_atrata,Perennial Forb
plantago_lanceolata,Perennial Forb
plantago_ovata,Perennial Forb
poa_annua,Annual Grass 
poa_bulbosa,Annual Grass 
poa_pratensis,Perennial Grass
potentilia_recta,Perennial Grass
potentilla_gaubeana,Perennial Forb
potentilla_gilanica,Perennial Forb
potentilla_meyeri,Perennial Forb
potentilla_polyschista,Perennial Forb
potentilla_reptans,Perennial Forb
primula_algida,Perennial Forb
prunus_spinosa,Bushy Tree
ranunculus_buhsei,Perennial Forb
ranunculus_straussii,Annual Forb
rheum_turkestanicum,Shrub
rhinchochoris_elephants,Annual Forb
rosa_persica,Bushy Tree
rumex_elbursnis,Perennial Forb
salvia_hypoleuca,Perennial Forb
sanguisorba_minor,Perennial Forb
scariola_arientalis,Perennial Forb
sedum_annuum,Annual Forb
sedum_caespitosum,Annual Forb
senecio_paucilobus,Perennial Forb
silene_aucheriana,Perennial Forb
silene_longipetala,Annual Forb
silene_vulgaris,Perennial Forb
sisymbrium_altissimum,Annual Forb
sisymbrium_officinale,Annual Forb
sophora_alopecuroides,Shrub
stachys_byzanthina,Perennial Forb
stachys_inflata,Perennial Forb
stachys_lavandulifolia,Shrub
stachys_persica,Perennial Forb
stellaria_graminea,Annual Forb
stellaria_media,Annual Forb
stipa_barbata,Perennial Grass
stipa_lessingiana,Perennial Grass
taraxacum_montanum,Perennial Forb
taraxacum_serotinum,Perennial Forb
teucrium_macrum,Perennial Forb
teucrium_polium,Perennial Forb
thymus_fallax,Shrub
thymus_kotschyanus,Shrub
torilis_arvensis,Perennial Forb
tragopogon_monanus,Perennial Forb
tragopogon_montanus,Perennial Forb
traxacum_baltistannicum,Perennial Forb
trifolium_pratense,Perennial Forb
trifolium_repense,Perennial Forb
turgenia_latifolia,Perennial Forb
urtica_dioica,Perennial Forb
verbascum_cheiranthifolium,Perennial Forb
verbascum_haesarense,Perennial Forb
verbascum_phlomoides,Perennial Forb
verbascum_pulverulentum,Perennial Forb
verbascumflavidum_boiss,Annual Forb
veronica_bozakmanii,Perennial Forb
veronica_varna,Annual Forb
vicia_ervilla,Perennial Forb
vicia_persica,Perennial Forb
vinca_herbacea,Annual Forb
viola_oderata,Perennial Forb
ziziphora_clinopodioides,Perennial Forb